516 Buildings - Barracks
300	Buildings - Fighters Guild
343	Buildings - Knightly Orders [6]
223	Buildings - Mages Guild [11]
109	Buildings - Medium [53]
323	Buildings - Medium - Fenced
526	Buildings - Medium - Flat [15]
605	Buildings - Medium - Flat - Fenced
560	Buildings - Medium - Flat - L Shape [4]
603	Buildings - Medium - Flat - Round [3]
707	Buildings - Medium - Flat - Semi-Detached [3]
126	Buildings - Medium - L Shape [12]
759	Buildings - Medium - Noble [11]
502	Buildings - Medium - Round [4]
501	Buildings - Medium - Tower
112	Buildings - Large [52]
121	Buildings - Large - Flat [25]
617	Buildings - Large - Flat - Round [2]
658	Buildings - Large - Flat - Terraced [9]
0	Buildings - Large - L Shape [2]
758	Buildings - Large - Noble [15]
843	Buildings - Large - Semi-Detached [3]
822	Buildings - Large - Semi-Detached - Noble [3]
828	Buildings - Large - Terraced - Noble [8]
407	Buildings - Palaces [16]
107	Buildings - Small [20]
329	Buildings - Small - Fenced
527	Buildings - Small - Flat [17]
607	Buildings - Small - Flat - Fenced [2]
554	Buildings - Small - Flat - L Shape [7]
655	Buildings - Small - Flat - Round [3]
154	Buildings - Small - L SHape [14]
263	Buildings - Small - Tower
220	Buildings - Taverns - Large [10]
113	Buildings - Taverns - Large - Flat [4]
625	Buildings - Taverns - Medium - Flat
249	Buildings - Taverns - Medium [9]
110	Buildings - Taverns - Small
103	Buildings - Templar Orders [5]
100	Buildings - Temples [13]
324	Buildings - Two Houses
517	Brown Stone Fence Corner [3]
518	Brown Stone Fence Straight [3]
21106	Brown Stone Fence Gateway
21107	Brown Stone Fence End Cap
444	City Walls - Corner Tower
447	City Walls - Gateway Closed
446	City Walls - Gateway Opened
445	City Walls - Straight [3]
41900	Column
42000	Dungeon - Cairn Entrance
512	Dungeon - Castle 00 [2]
644	Dungeon - Castle 01 [3]
711	Dungeon - Castle 02
647	Dungeon - Castle 03 [2]
649	Dungeon - Castle 04 [6]
712	Dungeon - Castle 05 [5]
717	Dungeon - Castle 06 [2]
719	Dungeon - Castle 07 [4]
726	Dungeon - Castle 08 [4]
723	Dungeon - Castle 09 [3]
852	Dungeon - Castle 10
853	Dungeon - Castle 11
854	Dungeon - Castle 12
855	Dungeon - Castle 13
856	Dungeon - Castle 14
857	Dungeon - Castle 15
858	Dungeon - Castle 16
859	Dungeon - Castle 17
860	Dungeon - Castle 18
861	Dungeon - Castle 19
43600	Dungeon - Ground Entrance
43601	Dungeon - Mound Entrance [3]
43604	Dungeon - Ruin Entrance
40012	Dungeon - Stone Entrance
42001	Dungeon - Tree Entrance
448	Fortifications - Corner [2]
450	Fortifications - Gateway [2]
39003	Fortifications - S Shape
449	Fortifications - Straight [4]
41220	Fountains [3]
522	Guard Tower
20027	Guard Tower - Top [10]
735	Hedge Maze [8]
745	Hedgerow - Corner - Entrance
744	Hedgerow - Corner [4]
751	Hedgerow - 3 Way
40017	Hedgerow - 4 Way
739	Hedgerow - End
753	Hedgerow - End Cap [3]
746	Hedgerow - Entrance [3]
41236	Hedgerow - Single [2]
747	Hedgerow - Straight [3]
74094	Large Shrines [2]
41215	Mounds [3]
41216	Mounds - Carved [2]
41901	Pillars - Wood [2]
62315	Pillars - Marble [3]
74121	Pyramid
41722	Ruins - Columns [6]
41720	Ruins - Buildings [44]
41502	Ships / Boats [7]
41509	Shipwreck
43733	Signs - Akatosh Temple [3]
43720	Signs - Alchemist Shop [3]
43718	Signs - Arkay Temple [3]
43725	Signs - Armor Shop [2]
43730	Signs - Bank [3]
43721	Signs - Clothes Shop [3]
43724	Signs - Dibella Temple [3]
43731	Signs - General Store [3]
43726	Signs - Jewelry Shop [3]
43719	Signs - Julianos Temple [3]
43734	Signs - Kynareth Temple [3]
43735	Signs - Library [3]
43722	Signs - Mages Guild [3]
43728	Signs - Mara Temple [3]
43732	Signs - Pawn Shop [3]
43729	Signs - Stendarr Temple [3]
43727	Signs - Tavern [3]
43736	Signs - Weapon Shop [3]
43723	Signs - Zenithar Temple [3]
41211	Stone Bridges [3]
41223	Towers - Hexagonal [7]
41230	Towers - Pentagonal [5]
521	Unique - Castle Daggerfall [4]
457	Unique - Castle Llugwych
900	Unique - Castle Wayrest [5]
500	Unique - Direnni Tower
454	Unique - Lysandus' Tomb
455	Unique - Orsinium Palace
456	Unique - Scourg Barrow
633	Unique - Sentinel Palace [3]
628	Unique - Sentinel Palace - Walls? [6]
452	Unique - Shedungent
453	Unique - Woodborne Hall
41600	Windmill
21103	Wooden Fence - Broken
41200	Wooden Fence 01 - End Cap [2]
41201	Wooden Fence 01 - Mid
41203	Wooden Fence 02 - End Cap [2]
41204	Wooden Fence 02 - Mid
41206	Wooden Fence 03 - End Cap [2]
41207	Wooden Fence 03 - Mid
